,公司,年月,TSE新產業名,TEJ子產業名,實收資本額(元),實收資本額(NTD),本期匯出金額(NTD),期末帳面值(NTD),累計台灣匯出總額(NTD),經濟部核准金額(NTD),  現金及約當現金,  不動產廠房及設備,  其他應付款,  當期所得稅負債,  應計退休金負債,  股本,    法定盈餘公積,    未分配盈餘,  保留盈餘,母公司股東權益合計,股東權益總額,營業收入淨額,營業費用,稅前淨利,所得稅費用,繼續營業單位損益,合併總損益,本期綜合損益總額,歸屬母公司淨利（損）,綜合損益歸屬母公司,加權平均股數,稀釋稅後淨利,加權平均股數－稀釋,稅前息前淨利,稅前息前折舊前淨利,常續性稅後淨利,期末普通股－現金股利,  稅前淨利－CFO,  折舊－CFO,  攤提－CFO,來自營運之現金流量,期初現金及約當現金,期末現金及約當現金,期末累計匯出金額(NTD)
3202,3533,2017-12-29,M2328 電子零組件,M23D2 連接器,1034779000,2218898.0,0.0,5722551.0,1368639.0,1518958,1319133.0,2875657,686316.0,161099.0,0.0,934779,835452.0,4322806.0,5195871.0,8285616,8431789,10482763.0,2170932.0,1252403.0,269671.0,982732.0,982732.0,762789.0,956301.0,735882.0,93478.0,956301.0,93950.0,1258043.0,1890165.0,1016561.0,514128.0,1252403.0,625230.0,6892.0,1025978.0,1465258.0,1319133.0,1515951.0
3203,3533,2016-12-30,M2328 電子零組件,M23D2 連接器,1034779000,1990649.0,0.0,4938311.0,1483152.0,1640317,1465258.0,2528461,636281.0,123718.0,0.0,934779,766420.0,3849892.0,4616312.0,7896919,7975413,8862577.0,2089697.0,894664.0,247663.0,647001.0,647001.0,215996.0,690324.0,259699.0,93478.0,690324.0,94177.0,897976.0,1223448.0,682839.0,373912.0,894664.0,319806.0,5666.0,878608.0,2040810.0,1465258.0,1642790.0
3204,3533,2015-12-31,M2328 電子零組件,M23D2 連接器,1034779000,2051370.0,0.0,4777622.0,1512357.0,1679088,2040810.0,2192674,604713.0,203261.0,0.0,934779,686794.0,3659295.0,4346089.0,8039936,8088081,8196917.0,1984746.0,1090453.0,310071.0,780382.0,780382.0,758825.0,796260.0,775171.0,93478.0,796260.0,94034.0,1103441.0,1385938.0,798800.0,420651.0,1090453.0,275848.0,6649.0,2093622.0,1395851.0,2040810.0,1675138.0
3205,3533,2014-12-31,M2328 電子零組件,M23D2 連接器,1034779000,1941835.0,30058.0,4498861.0,1455099.0,1518069,1395851.0,2271665,574857.0,132144.0,0.0,934779,579036.0,3481329.0,4060365.0,7775702,7836479,8303956.0,1729723.0,1366453.0,292557.0,1073896.0,1073896.0,1376029.0,1077576.0,1378941.0,93478.0,1077576.0,93807.0,1385138.0,1664810.0,1077104.0,514128.0,1366453.0,269380.0,10292.0,1524231.0,1006366.0,1395851.0,1611717.0
3206,3533,2013-12-31,M2328 電子零組件,M23D2 連接器,1034779000,1790413.0,7451.0,3826748.0,1432553.0,1632705,1006366.0,1929689,578705.0,128649.0,0.0,934779,506501.0,2804320.0,3310821.0,6713335,6762171,8061960.0,1607197.0,949515.0,234250.0,715265.0,715265.0,949780.0,725350.0,959865.0,93478.0,725350.0,94151.0,985684.0,1249995.0,743365.0,327173.0,949515.0,254628.0,9683.0,152279.0,1346693.0,1006366.0,1551774.0
3207,3533,2012-12-28,M2328 電子零組件,M23D2 連接器,1034779000,1731142.0,108900.0,3227416.0,1504684.0,1699699,1346693.0,1949198,461679.0,248376.0,0.0,934779,411688.0,2587386.0,2999074.0,6126348,6138887,8567000.0,1421197.0,1261018.0,315857.0,945161.0,945161.0,801995.0,947716.0,804550.0,93478.0,,,1271352.0,1507243.0,981930.0,420650.0,1261018.0,233330.0,2561.0,-121716.0,978601.0,1346693.0,1504684.0
3208,3535,2018-12-28,M2326 光電業,M23H2 電機設備,790523560,61470.0,0.0,26098.0,61470.0,61470,545822.0,449508,133003.0,0.0,6489.0,790523,6031.0,5650.0,14603.0,899514,899514,1537750.0,320625.0,84317.0,111.0,84206.0,84206.0,83488.0,84206.0,83488.0,79052.0,84206.0,79093.0,97292.0,126858.0,83280.0,0.0,84317.0,26707.0,2859.0,273605.0,229944.0,545822.0,61470.0
3209,3535,2017-12-29,M2326 光電業,M23H2 電機設備,790523560,61470.0,0.0,28672.0,61470.0,61470,229944.0,380025,101081.0,0.0,6557.0,790523,6031.0,-78345.0,-69392.0,816026,816026,1038039.0,282217.0,-127044.0,1746.0,-128790.0,-128790.0,-129560.0,-128790.0,-129560.0,78971.0,-128790.0,78971.0,-116966.0,-81233.0,-122378.0,0.0,-127044.0,31769.0,3964.0,-174784.0,307328.0,229944.0,61470.0
3210,3535,2016-12-30,M2326 光電業,M23H2 電機設備,790523560,61470.0,0.0,30965.0,61470.0,61470,307328.0,433403,84678.0,4613.0,6722.0,785978,5210.0,54208.0,59495.0,937937,937937,1407121.0,249027.0,9045.0,828.0,8217.0,8217.0,4552.0,8217.0,4552.0,78598.0,8217.0,78752.0,20154.0,63529.0,43227.0,0.0,9045.0,39787.0,3588.0,284496.0,336153.0,307328.0,61470.0
3211,3535,2015-12-31,M2326 光電業,M23H2 電機設備,790523560,61470.0,25328.0,32650.0,61470.0,61470,336153.0,495241,89410.0,0.0,6340.0,785978,0.0,52098.0,52098.0,933385,933385,1023814.0,240253.0,52884.0,0.0,52884.0,52884.0,51332.0,52884.0,51332.0,78598.0,56660.0,91387.0,63544.0,120126.0,53064.0,0.0,52884.0,51108.0,5474.0,-139453.0,247407.0,336153.0,61470.0
3212,3535,2014-12-31,M2326 光電業,M23H2 電機設備,790523560,36142.0,6009.0,6170.0,36142.0,63300,247407.0,543804,63697.0,0.0,5766.0,785978,0.0,-37236.0,-37236.0,882053,882053,740537.0,221145.0,-30713.0,5794.0,-36507.0,-36507.0,-36761.0,-36507.0,-36761.0,78598.0,-36507.0,78598.0,-24188.0,34983.0,-41759.0,0.0,-30713.0,48490.0,10681.0,-129746.0,227203.0,247407.0,36142.0
